Model,Activation,Neurons,Last Epoch,Train Loss,Train Accuracy,Valid Loss,Valid Accuracy
model_1,ReLU,16,600,1.364916660568931,0.3457142857142857,1.3637883297602336,0.3866666555404663
model_2,ELU,16,600,1.3622281009500676,0.3342857142857143,1.3642013629277547,0.3199999928474426
model_3,GELU,16,600,1.3622480089014226,0.3585714285714286,1.3584338394800821,0.3466666638851166
model_4,ReLU,32,600,1.3594982840798118,0.3442857142857143,1.3594686301549275,0.3400000035762787
model_5,ELU,32,600,1.3512147014791316,0.38,1.3532737414042155,0.3933333456516266
model_6,GELU,32,600,1.3623023575002497,0.3457142857142857,1.3577445824941,0.3400000035762787
model_7,ReLU,64,600,1.344664378599687,0.3842857142857143,1.3478695472081503,0.3933333456516266
model_8,ELU,64,600,1.311990662054582,0.39285714285714285,1.3221768999099732,0.3866666555404663
model_9,GELU,64,600,1.3552884513681585,0.38571428571428573,1.3560537926355998,0.3799999952316284
